File Name,ok/nok,Modification Date,Dates et heures A1, Reference porteur,Reference flex,Part number 101,Batch number 101,Part number 102,Batch number 102,Part number 103,Batch number 103,Part number 201,Batch number 201,Part number 202,Batch number 202,Part number 203,Batch number 203,Part number LV,Batch number LV,Part number HV,Batch number HV,Dates et heures B1,Soudage 1.1,Soudage 1.2,Soudage 2.1,Soudage 2.2,Soudage 3.1,Soudage 3.2,Soudage 4.1,Soudage 4.2,Soudage 5.1,Soudage 5.2,Soudage 6.1,Soudage 6.2,Soudage 7.1,Soudage 7.2,Soudage 8.1,Soudage 8.2,Soudage 9.1,Soudage 9.2,Dates et heures A11,A11,Dates et heures B2,Collage,B3 dates et heures,Pressage,Dates et heures A21,Test 1,A22 dates et heures,Test 2
ELV036257-4023035.TXT,0221123-0021.txt,2023-11-14,2023/11/14 14:07:37,03,AB12221-603-0H-ELV036257-4023035,PAB12221-101-3A,H202306070023,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/14 14:19:25,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/14 14:23:04,OK,2023/11/14 14:27:16,OK,2023/11/14 14:27:39,OK,yyyy:mm:dd hh:mm:ss,OK,2023/11/14 14:40:00,OK
ELV036257-4023096.TXT,0221123-0023.txt,2023-11-23,2023/11/23 12:54:39,06,AB12221-603-0H-ELV036257-4023096,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/23 12:55:21,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/23 13:02:32,OK,2023/11/23 13:08:31,OK,2023/11/23 13:09:52,OK,2023/11/23 13:25:11,OK,2023/11/23 13:28:00,OK
ELV036257-4023097.TXT,0221123-0026.txt,2023-11-23,2023/11/23 11:22:13,05,AB12221-603-0H-ELV036257-4023097,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/23 11:22:56,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/23 11:27:09,OK,2023/11/23 11:35:42,OK,2023/11/23 11:36:04,OK,2023/11/23 12:51:21,OK,2023/11/23 12:53:07,OK
ELV036257-4023131.TXT,0221123-0028.txt,2023-11-23,2023/11/23 13:11:24,03,AB12221-603-0H-ELV036257-4023131,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/23 13:12:06,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/23 13:16:58,OK,2023/11/23 13:18:36,OK,2023/11/23 13:18:57,OK,2023/11/23 13:37:53,OK,2023/11/23 13:38:28,OK
ELV036257-4023129.TXT,0221123-0029.txt,2023-11-23,2023/11/23 12:49:07,05,AB12221-603-0H-ELV036257-4023129,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/23 12:49:56,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/23 13:02:03,OK,2023/11/23 13:06:27,OK,2023/11/23 13:06:50,OK,2023/11/23 13:20:22,OK,2023/11/23 13:25:11,OK
ELV036257-4023102.TXT,0221123-0030.txt,2023-11-23,2023/11/22 14:39:24,07,AB12221-603-0H-ELV036257-4023102,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/22 14:42:27,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/22 14:46:14,OK,2023/11/22 14:49:13,OK,2023/11/22 14:50:31,OK,2023/11/22 15:03:08,OK,2023/11/22 15:03:53,OK
ELV036257-4023098.TXT,0221123-0031.txt,2023-11-23,2023/11/23 11:23:27,06,AB12221-603-0H-ELV036257-4023098,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/23 11:26:21,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/23 11:31:53,OK,2023/11/23 11:37:44,OK,2023/11/23 11:39:05,OK,2023/11/23 12:53:07,OK,2023/11/23 12:55:33,OK
ELV036257-4023091.TXT,0221123-0032.txt,2023-11-23,2023/11/23 11:39:36,03,AB12221-603-0H-ELV036257-4023091,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/23 11:40:18,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/23 12:37:54,OK,2023/11/23 12:42:10,OK,2023/11/23 12:42:32,OK,2023/11/23 13:02:51,OK,2023/11/23 13:03:36,OK
ELV036257-4023095.TXT,0221123-0033.txt,2023-11-23,2023/11/23 12:37:09,01,AB12221-603-0H-ELV036257-4023095,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/23 12:37:51,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/23 12:41:44,OK,2023/11/23 12:47:14,OK,2023/11/23 12:50:15,OK,2023/11/23 13:17:56,OK,2023/11/23 13:20:22,OK
ELV036257-4023109.TXT,0221123-0034.txt,2023-11-23,2023/11/23 13:32:08,02,AB12221-603-0H-ELV036257-4023109,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/23 13:32:50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/23 13:36:52,OK,2023/11/23 13:38:29,OK,2023/11/23 13:38:50,OK,2023/11/23 13:50:04,OK,2023/11/23 13:52:09,OK
